Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,BAO_Label,Target_Name
Cn1c2cc(B(O)O)sc2c2cnn(Cc3c(F)cccc3F)c(=O)c21,Potency,'=',2511.9,nM,5.6,assay format,Beta-lactamase AmpC
Cc1sc2nc(CN(Cc3cccs3)C(=O)NC3CCCCC3)nc(O)c2c1C,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
Cn1c2cc(B(O)O)sc2c2cnn(Cc3c(F)cccc3Cl)c(=O)c21,Potency,'=',2511.9,nM,5.6,assay format,Beta-lactamase AmpC
CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1.Cl,Potency,'=',3548.1,nM,5.45,assay format,Beta-lactamase AmpC
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
Cc1cccc(N2CCN(C(=O)Cn3sc4nc(C)cc(C)c4c3=O)CC2C)c1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
Cc1cccc(CS(=O)(=O)c2nnc([C@H](Cc3ccccc3)NC(=O)OC(C)(C)C)o2)c1,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
Cc1ccccc1C(=O)OC1OC(O)=C(Cl)/C1=N/c1ccc(C(=O)O)cc1,Potency,'=',1258.9,nM,5.9,assay format,Beta-lactamase AmpC
O=C(O)c1cccc2c1NC(C(=O)O)C1CC(Sc3ccccc3[N+](=O)[O-])C(Cl)C21,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
O=C(O)C1Nc2c(O)cc(Cl)c([N+](=O)[O-])c2C2C=CCC12,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
CCOC(=O)C1CCCN(C(=O)Cn2sc3nc(C)cc(C)c3c2=O)C1,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1,Potency,'=',25118.9,nM,4.6,assay format,Beta-lactamase AmpC
Cc1ccccc1C(=O)OC1OC(=O)C(Cl)=C1N1CCOCC1,Potency,'=',3981.1,nM,5.4,assay format,Beta-lactamase AmpC
Cc1cc(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)cc1C,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
CC(C)CC(OC(=O)c1ccco1)C(=O)NC1CCCCC1,Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
O=C(Oc1ccccc1)c1cccnc1Oc1ccccc1,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
COc1ccc2c3c1OC1C(O)C=CC4C(C2)[N+](C)(C)CCC341.[I-],Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1cccc3ccccc13)C(=O)O)C2=O,Ki,'=',5000.0,nM,5.3,assay format,Beta-lactamase AmpC
