SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
O=CC(Br)P(=O)(N1CCOCC1)N1CCOCC1,MOL0114,Filter4_alpha_halo_carbonyl > 0,341.1420000000001,0.7638,0,4,59.08,4
CCCCNC(=O)Oc1c(Br)cc2sc(=O)oc2c1Br,MOL0115,Filter9_metal > 0,425.09800000000007,4.268000000000002,1,5,68.53999999999999,4
COc1ccc(/C=C2\N=C(C)OC2=O)cc1OC,MOL0116,Filter44_michael_acceptor2 > 0,247.24999999999997,2.0199,0,5,57.120000000000005,3
CCC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[K+],MOL0117,OK,416.54000000000013,-2.854999999999996,1,6,98.77000000000001,6
CCCC[n+]1c2ccccc2cc2ccccc21.[I-],MOL0118,Filter82_pyridinium > 0,363.24199999999996,1.0845999999999996,0,0,3.88,3
O=C(Nc1ccccc1)c1cc2ccccc2c(=O)s1,MOL0119,Filter14_thio_oxopyrylium_salt > 0,281.33599999999996,3.5138000000000016,1,3,46.17,2
Cc1sc2nc(C(C)C)nc(SCC(=O)NC3CC3)c2c1C,MOL0120,OK,335.49800000000016,3.802240000000002,1,5,54.88,5
Cc1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccccc2C)cc1,MOL0121,OK,357.79300000000006,4.555140000000003,1,5,68.12,3
Cc1ccc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)c(C)c1,MOL0122,OK,367.35700000000014,2.29354,2,4,111.98000000000002,5
Cc1cc(C)c2c(=O)n(CC(=O)Nc3cccc(F)c3)sc2n1,MOL0123,OK,331.37200000000007,2.852640000000001,1,5,63.99,3
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1ccc3ccccc3c1)C(=O)O)C2=O,MOL0124,OK,389.3630000000001,2.8299000000000003,2,4,111.98000000000002,5
CN(C)C(=S)SSC(=S)N(C)C,MOL0125,Filter56_SS_bond > 0,240.44400000000002,2.0608,0,4,6.48,0
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12.O.[Na+],MOL0126,OK,510.33100000000024,-1.9532799999999988,1,7,147.07,4
COc1cc[n+](OC(=O)N2CCCCC2)c(C)c1.c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,MOL0127,Filter9_metal > 0,570.5420000000001,4.3896200000000025,0,3,42.65,6
COC(=O)c1sc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)c(C#N)c1C,MOL0128,OK,427.4850000000002,5.182300000000003,1,6,92.07999999999998,4
CCCn1c(SCC(=O)N2CCCc3ccccc32)nc2c1c(=O)n(C)c(=O)n2C,MOL0129,Filter82_pyridinium > 0,427.5300000000002,1.9151999999999998,0,8,82.13,5
O=C1NC(=S)N(Cc2ccco2)C(=O)/C1=C\c1cccs1,MOL0130,OK,318.379,2.168,1,5,62.550000000000004,3
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(N)c2c1O.[Na+].[Na+].[Na+].[Na+],MOL0131,Filter5_azo > 0,960.8220000000001,-6.6843600000000025,4,20,370.74,9
COc1ccc(Cl)cc1NC(=O)COc1ccc(S(=O)(=O)N2CCOCC2)cc1C,MOL0132,OK,454.9320000000003,2.6954200000000004,1,6,94.16999999999999,7
COc1ccc(-n2ccc(=O)c(C(=O)Nc3ccc(S(=O)(=O)Nc4nccs4)cc3)n2)cc1,MOL0133,OK,483.53100000000006,2.750700000000001,2,9,132.28,7
CCC(C)[C@@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2cccc(C)c2)o1,MOL0134,OK,423.5350000000002,3.9638200000000037,1,7,111.39,7
N=C1/C(=C\c2ccc(-c3cccc(C(=O)O)c3)o2)C(=O)N=C2SC=C(c3ccccc3)N12,MOL0135,OK,441.46800000000013,4.949070000000003,2,5,106.96000000000001,4
Cc1ccc(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c1,MOL0136,OK,331.34900000000005,2.2199400000000002,0,5,80.75,3
NC(=O)CC1(CC(=O)O)CCCCC1,MOL0137,OK,199.24999999999994,1.286999999999999,2,2,80.39,4
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@@H]21.[Na+],MOL0138,Filter44_michael_acceptor2 > 0,449.44200000000023,-4.232099999999998,2,9,151.09,7
COc1ccc(OC)c(N2C(=O)/C(=C/c3ccco3)C(=O)NC2=S)c1,MOL0139,OK,358.37500000000006,2.1281,1,6,81.01,4
O=C1OC(OC(=O)c2ccccc2Br)C(N2CCOCC2)=C1Cl,MOL0140,Filter9_metal > 0,402.62800000000027,2.2714000000000008,0,6,65.07000000000001,3
O=C(CSc1nc(-c2ccc(F)cc2)nc2c1Cc1ccccc1O2)Nc1ccc(C(=O)O)cc1,MOL0141,OK,487.5120000000002,5.4082000000000034,2,6,101.41000000000001,6
Cc1ccc(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c(C)c1,MOL0142,OK,331.3490000000001,2.2199400000000002,0,5,80.75,3
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1c3ccccc3cc3ccccc13)C(=O)O)C2=O,MOL0143,Filter68_anthracene_acridine > 0,439.4230000000002,3.983100000000003,2,4,111.98000000000002,5
