Smiles,pChEMBL_Value
C=C(C)CC(C(=O)NCc1ccccc1)N1CCOCC1,6.45
C=C(C)CC1Nc2ccccc2NC1CC(=C)C,6.15
C=C(C)CN(CC)C(=O)CSc1ccc(S(=O)(=O)N2CCN(C)CC2)cn1,5.8
C=C(C)CN(CC)C(=O)CSc1nc2cc(Cl)c[nH]c-2n1,5.45
C=C(C)CN(CC)c1nc(N)c2c(N)nc3c(c2c1C#N)CC(=O)N3C12CC3CC(CC(C3)C1)C2,4.75
C=C(C)CN1C(=O)C(O)(CC(=O)c2ccc3c(c2)OCCO3)c2ccccc21,4.95
C=C(C)CN1CCN(c2c(CCC#N)c(C)c(C#N)c3nc4ccccc4n23)CC1,4.8
C=C(C)CNC(=O)c1ccc2nc(Cc3ccc(OC)cc3)oc2c1,4.0
C=C(C)CNC(=S)/N=c1\scc(C)n1CC,4.2
C=C(C)COc1ccc(-c2[nH]nc(C)c2-c2ccccc2OC)c(O)c1,4.9
C=C(C)COc1ccc(-c2n[nH]cc2-c2ccccc2OC)c(O)c1,4.3
C=C(C)COc1ccc(-c2n[nH]cc2Oc2cccc(OC)c2)c(O)c1,5.3
C=C(C)COc1ccc(-c2ncncc2-c2ccccc2OC)c(O)c1,4.0
C=C(C)COc1ccc(C2NC(=O)c3ccccc3O2)cc1OCC,4.0
C=C(C)CSC1=C(C#N)C(c2ccsc2)CC(=O)N1,5.6
C=C(C)CSc1nc(N)c2c3c(sc2n1)CCC3,4.35
C=C(C)CSc1nc2c(cc1C#N)CCC2,6.15
C=C(C)CSc1nnc([C@@H](NC(=O)OC(C)(C)C)C(C)CC)o1,6.2
C=C(C)Cc1c(C)nc(-c2ccccc2)nc1O,6.15
C=C(C)Cn1c(C2CC(=O)N(Cc3ccccc3)C2)nc2ccccc21,6.2
C=C(C)Cn1c(C2CC(=O)N(c3ccccc3F)C2)nc2ccccc21,4.8
C=C(C)Cn1c(CCCNC(=O)C(C)(C)C)nc2ccccc21,4.05
C=C(C)c1cccc(C(C)(C)NC(=O)N2CC(C)OC(C)C2)c1,6.2
C=C(C)c1cccc(C(C)(C)NC(=O)N2CCN(C/C=C/c3ccccc3)CC2)c1,4.45
C=C(C)c1cccc(C(C)(C)NC(=O)N2CCOCC2)c1,4.05
C=C(C)c1cccc(C(C)(C)NC(=O)NC2CCCC2)c1,4.45
C=C(C)c1cccc(C(C)(C)NC(=O)Nc2ccc(OC)cc2)c1,4.7
C=C(C)c1cccc(C(C)(C)NC(=O)Nc2ccc(OC)nc2)c1,3.95
C=C(C)c1cccc(C(C)(C)NC(=O)Nc2cccnc2)c1,3.95
C=C(C)c1nc(N)nc(N)n1,4.35
C=C1C(C(=O)N2CCN(C)CC2)C1C(=O)N1CCN(C)CC1,4.25
C=C1C(C(=O)N2CCOCC2)C1C(=O)N1CCOCC1,5.35
C=C1C2C[C@H](O)C(C)(C)[C@@]2(O)[C@H](O)C[C@]23C[C@@](C)(O)[C@H](CC[C@H]12)[C@H]3OC(C)=O,5.9
C=C1CC(C(=O)N/N=C/c2ccccc2)C1,5.75
