SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
Cc1ccc(C)c(Cn2c(C(C)NC(=O)c3ccc(F)cc3)nc3ccccc32)c1,MOL0069,OK,401.4850000000001,5.331540000000005,1,3,46.92,5
Cc1cccc(-c2nc(S(=O)(=O)c3ccc(Cl)cc3)c(N3CCCCCC3)o2)c1,MOL0070,OK,430.95700000000033,5.516620000000005,0,5,63.410000000000004,4
N#C/C(=C\c1ccc(F)cc1)c1nc(-c2ccc(-c3ccccc3)cc2)cs1,MOL0071,OK,382.463,6.680380000000005,0,3,36.68,4
COc1ccc(NC(=O)Cn2c(=O)n(CCC(=O)NCc3ccccc3OC)c(=O)c3ccccc32)cc1Cl,MOL0072,Filter82_pyridinium > 0,550.9990000000001,3.179000000000002,2,8,120.66,10
CCS(=O)(=O)c1nc(S(=O)(=O)c2ccc(C)cc2)c(NC)s1,MOL0073,OK,360.4820000000001,2.1196200000000003,1,7,93.19999999999999,5
COc1ccc2c(c1)cc1c(=O)n(CC(=O)NC3CCCCC3)nc(C)n12,MOL0074,Filter82_pyridinium > 0,368.4370000000002,2.415120000000001,1,6,77.63,4
COc1cccc(-c2cn3c(n2)sc2cc(C(=O)NCc4ccccc4F)ccc23)c1,MOL0075,OK,431.49200000000013,5.293700000000003,1,5,55.63,5
O=C(Nc1ccc(S(=O)(=O)N2CCC(c3nc4ccccc4s3)CC2)cc1)c1ccccc1F,MOL0076,OK,495.60100000000017,5.256000000000004,1,5,79.37,5
O=C(Nc1nnc(S(=O)(=O)N2CCOCC2)s1)c1ccccc1F,MOL0077,OK,372.403,0.9503999999999999,1,7,101.49000000000001,4
Cc1cccc(S(=O)(=O)c2cn(Cc3ccc(F)cc3)c3cc(N4CCCCC4)c(F)cc3c2=O)c1,MOL0078,Filter82_pyridinium > 0,508.5900000000004,5.459520000000005,0,5,59.38,5
COc1cccc(NC(=O)Cn2c(=O)n(-c3ccccc3)c(=O)c3c4c(sc32)CCCC4)c1,MOL0079,Filter82_pyridinium > 0,461.5430000000003,3.740000000000003,1,7,82.32999999999998,5
COc1ccc(N2CCN(C(=O)c3cc(S(=O)(=O)N4CCCCCC4)cn3C)CC2)cc1,MOL0080,OK,460.6000000000004,2.5608000000000004,0,6,75.09,5
CCc1nn(CC(=O)NC2CC2)c(=O)c2cc3ccccc3n12,MOL0081,Filter82_pyridinium > 0,310.35699999999997,1.4901999999999993,1,5,68.4,4
COc1ccc(CN(C(=O)c2cc3ccccc3oc2=O)C2CCS(=O)(=O)C2)cc1OC,MOL0082,Filter14_thio_oxopyrylium_salt > 0,457.5040000000003,2.6397000000000004,0,7,103.11999999999999,6
CCOc1ccc(-c2cn3c(n2)sc2cc(C(=O)NC(C)C45CC6CC(CC(C6)C4)C5)ccc23)cc1,MOL0083,OK,499.68000000000035,6.949400000000006,1,5,55.63,6
COC(=O)c1c(NC(=O)c2cc(=O)c3ccc(C)c(C)c3o2)sc2c1CCCC2,MOL0084,Filter14_thio_oxopyrylium_salt > 0,411.4790000000003,4.389040000000003,1,6,85.61,3
Cc1cccc(-c2nc(N3CCN(c4ccc(F)cc4)CC3)c3ccccc3n2)c1,MOL0085,OK,398.4850000000001,5.0709200000000045,0,4,32.260000000000005,3
COC(=O)c1sccc1S(=O)(=O)N(CC(=O)Nc1c(C)cccc1C)c1ccc(C)c(C)c1,MOL0086,OK,486.6150000000003,4.602380000000004,1,6,92.78,7
CCOc1ccc(NC(=O)C2CCCN(S(=O)(=O)c3c(C)n[nH]c3C)C2)cc1,MOL0087,OK,406.50800000000015,2.46464,2,5,104.39000000000001,6
COc1ccc(CCNC(=O)c2ccc3c(c2)nc2n3CCOC2)cc1OC,MOL0088,OK,381.43200000000024,2.5562000000000005,1,6,74.61,6
CC1CCCN(Cc2c(O)ccc3c2O/C(=C\c2ccco2)C3=O)C1,MOL0089,Filter44_michael_acceptor2 > 0,339.39100000000013,3.833300000000003,1,5,62.910000000000004,3
COc1ccc(CCNC(=O)Cc2c(C)c3c(cc(C)c4c(C)c(C)oc43)oc2=O)cc1,MOL0090,Filter14_thio_oxopyrylium_salt > 0,433.50400000000025,4.682880000000004,1,5,81.68,6
Cc1oc2ncn(C)c(=O)c2c1C(=O)Nc1ccccn1,MOL0091,Filter82_pyridinium > 0,284.275,1.4822199999999996,1,6,90.02,2
COc1ccc2cc3cc(C(=O)N4CCN(c5cccc(Cl)c5)CC4)sc3nc2c1,MOL0092,OK,437.95200000000017,5.0739000000000045,0,5,45.67,3
O=C(NCc1ccccc1)c1cc(-c2cccc(Cl)c2)on1,MOL0093,OK,312.75600000000003,3.9250000000000025,1,3,55.13,4
COc1ccc(NC(=O)CCSc2nc(-c3ccc(OC)cc3)cc(C(F)(F)F)n2)cc1,MOL0094,OK,463.4810000000001,5.300500000000004,1,6,73.34,8
CCOc1ccccc1NC(=O)c1cc2cc(C)ccc2n1C,MOL0095,OK,308.38100000000003,4.1377200000000025,1,3,43.26,4
CCOC(=O)CSc1nc2sc3c(c2c(=O)n1Cc1ccccc1)CC(C(C)C)OC3,MOL0096,Filter82_pyridinium > 0,458.60500000000025,4.2588000000000035,0,8,70.42,7
OC(CN(c1ccccc1)c1ccccc1)Cn1cnc2ccccc21,MOL0097,OK,343.43000000000006,4.235500000000003,1,4,41.29,6
COc1ccc(C(=O)Nc2nnc(SCc3cc(=O)c4cc(C)ccc4[nH]3)s2)cc1OC,MOL0098,OK,468.56000000000023,4.249820000000002,2,8,106.2,7
O=C(NCc1ccccc1Cl)C1CCN(S(=O)(=O)Cc2ccccc2)CC1,MOL0099,OK,406.9350000000002,3.1982000000000017,1,3,66.48,6
CCOc1ccccc1N1CC(c2nc3ccccc3n2CCOc2ccccc2)CC1=O,MOL0100,OK,441.53100000000023,5.034500000000004,0,5,56.589999999999996,8
COc1cccc(C(=O)Oc2ccc3c(C)cc(=O)oc3c2C(C)=O)c1,MOL0101,Filter14_thio_oxopyrylium_salt > 0,352.34200000000016,3.5318200000000024,0,6,82.81,4
Cc1cccc(NC(=O)CSc2nc3c(oc4ccccc43)c(=O)n2-c2ccc(F)cc2)c1,MOL0102,OK,459.5020000000001,5.310220000000004,1,6,77.13,5
COc1nc(-c2ccc(C)cc2)ccc1-c1noc(-c2ccc(C(C)(C)C)cc2)n1,MOL0103,OK,399.49400000000014,6.080120000000005,0,5,61.040000000000006,4
COc1ccc(-n2c(=O)c3c4c(sc3n(CC(=O)N3CCCCC3C)c2=O)CCC4)c(OC)c1,MOL0104,Filter82_pyridinium > 0,483.59000000000043,3.120800000000002,0,8,82.77,5
