Smiles,pChEMBL_Value
CC(C)CCN1C(=O)c2ccccc2CC1(C)C(=O)NC1CCCCC1,6.15
CC(C)CCN1CCN(C2CSCCSC2)CC1CCO,4.2
CC(C)CCNC(=O)C1CCC(CNS(=O)(=O)c2cccc3nsnc23)CC1,5.55
CC(C)CCNC(=O)CCC(=O)N1Cc2ccccc2Oc2ncccc21,5.3
CC(C)CCNC(=O)CCCC1=NS(=O)(=O)c2ccccc2N1,4.05
CC(C)CCNC(=O)CN1C(=O)CCn2nc(-c3cn(C)c4ccccc34)cc21,3.95
CC(C)CCNC(=O)c1c2c(nc3ccccc13)C(=O)N(C1CCCCC1)C2,5.7
CC(C)CCNC(=O)c1ccc(NC(=O)N2CCCCc3ccccc32)cc1,5.8
CC(C)CCNC(=O)c1ccc2c(c1)N(Cc1ccccc1F)C(=O)c1ccccc1S2(=O)=O,5.75
CC(C)CCNC(=O)c1ccc2c(c1)NC(=O)C(C(C)C)N2,4.05
CC(C)CCNC(=O)c1ccc2c(c1)NC(=O)C(CS(=O)(=O)Cc1ccc(F)cc1)N2,5.1
CC(C)CCNC(=O)c1ccc2c(c1)nc1n2CCCCC1,3.95
CC(C)CCNC(=O)c1ccc2nc(CCc3ccccc3)oc2c1,4.3
CC(C)CCOc1ccc(Cn2c(=O)oc3ccccc32)cc1,5.85
CC(C)CCOc1ccc(Cn2c(=O)sc3ccccc32)cc1,5.55
CC(C)CN1CCc2nc(Nc3ccc(F)cc3F)ncc2C1,4.5
CC(C)CNC(=O)C1=CC(c2ccc3c(c2)OCO3)=NS(=O)(=O)N1C,4.5
CC(C)CNC(=O)N1CCN(S(=O)(=O)c2ccc3c(ccn3C)c2)CC1,4.5
CC(C)COc1ccc(-c2nonc2NC(=O)c2ccc(F)cc2)cc1,4.4
CC(C)COc1ccc(C(=O)NCC2(N(C)C)CCCCC2)cc1,3.95
CC(C)C[C@H](NC(=O)c1[nH]cnc1C(=O)N[C@H](C)c1ccccc1)C(=O)OCc1ccccc1,4.05
CC(C)C[C@H](NC(=O)c1[nH]cnc1C(=O)Nc1ccccc1)C(=O)OC(C)(C)C,4.5
CC(C)Cc1cc(C(=O)NCc2ccc(Cl)cc2)no1,3.95
CC(C)Cc1nn2c(=O)cc(COC(=O)c3cccc(NC(=O)CCc4ccccc4)c3)nc2s1,4.35
CC(C)Cc1nn2c(=O)cc(COC(=O)c3cccc(NS(C)(=O)=O)c3)nc2s1,4.4
CC(C)N(Cc1ccccc1)C(=O)CCS(=O)(=O)c1cc2c(cc1Cl)NC(=O)CO2,4.0
CC(C)N(Cc1ccccc1)C(=O)CN1C(=O)COc2ccc(S(=O)(=O)NC3CCCC3)cc21,6.55
CC(C)N(Cc1nc(-c2ccc(Cl)cc2)no1)C(=O)c1ccco1,3.95
CC(C)NC(=O)C1CCCN(S(=O)(=O)c2ccc3c(ccn3C)c2)C1,4.4
CC(C)NC(=O)C1CCCN(c2ncnc3onc(-c4ccc(F)cc4)c23)C1,4.05
CC(C)NC(=O)C1CCN(C(=O)c2cnn(-c3ccccc3)c2-n2cccc2)CC1,5.95
CC(C)NC(=O)CCC(=O)N1Cc2ccccc2Oc2ncccc21,5.65
CC(C)NC(=O)CCSc1nc(-c2ccc3c(c2)OCO3)cc(C(F)(F)F)n1,4.15
